phase,angle_label,depth_left_m,depth_right_m,l1,cosine_distance,js_divergence,freq_l1
lens,center,1.0,3.0,4.704502862296067e-05,0.24678993225097656,0.11215630173683167,0.0877407118678093
lens,center,3.0,5.0,5.4775515309302136e-05,0.092243492603302,0.17291508615016937,0.11390320211648941
lens,center,5.0,7.0,8.125521956670045e-12,-2.384185791015625e-07,-1.1946285738417828e-08,3.95188237689581e-08
lens,center,7.0,10.0,9.476772665217847e-12,-3.5762786865234375e-07,-1.4637567602449053e-08,4.584876123203685e-08
lens,corner_neg_neg,1.0,3.0,8.250504470197484e-05,0.7083591222763062,0.32736241817474365,0.06056196987628937
lens,corner_neg_neg,3.0,5.0,8.06173775345087e-05,0.5966365337371826,0.30090460181236267,0.04283296316862106
lens,corner_neg_neg,5.0,7.0,3.178511542500928e-05,0.01641559600830078,0.08584398031234741,0.012290259823203087
lens,corner_neg_neg,7.0,10.0,8.636192069388926e-05,0.8428596258163452,0.3608279228210449,0.04377512261271477
lens,corner_neg_pos,1.0,3.0,8.31039433251135e-05,0.7126413583755493,0.33237600326538086,0.05702326074242592
lens,corner_neg_pos,3.0,5.0,8.058363164309412e-05,0.5966380834579468,0.3009757995605469,0.04313113912940025
lens,corner_neg_pos,5.0,7.0,3.18274469464086e-05,0.01641315221786499,0.08604037761688232,0.012345882132649422
lens,corner_neg_pos,7.0,10.0,8.594559039920568e-05,0.8394296169281006,0.3576437830924988,0.044127240777015686
lens,corner_pos_neg,1.0,3.0,8.310393604915589e-05,0.7126414775848389,0.3323759436607361,0.05702326074242592
lens,corner_pos_neg,3.0,5.0,8.058362436713651e-05,0.5966387987136841,0.3009757995605469,0.04313112795352936
lens,corner_pos_neg,5.0,7.0,3.182745058438741e-05,0.01641547679901123,0.08604039251804352,0.012345862574875355
lens,corner_pos_neg,7.0,10.0,8.594558312324807e-05,0.8394296169281006,0.3576437830924988,0.04412725567817688
lens,corner_pos_pos,1.0,3.0,8.383340900763869e-05,0.717449426651001,0.33824172616004944,0.053467314690351486
lens,corner_pos_pos,3.0,5.0,8.052586781559512e-05,0.5966372489929199,0.3009359836578369,0.04341713339090347
lens,corner_pos_pos,5.0,7.0,3.190185088897124e-05,0.01642400026321411,0.08627063035964966,0.012417031452059746
lens,corner_pos_pos,7.0,10.0,8.552722283639014e-05,0.8357522487640381,0.35433608293533325,0.04462654888629913
lens,x_neg_edge,1.0,3.0,9.991186379920691e-05,0.9502373933792114,0.4773096442222595,0.073463074862957
lens,x_neg_edge,3.0,5.0,7.896664465079084e-05,0.7416979074478149,0.30053195357322693,0.04785441607236862
lens,x_neg_edge,5.0,7.0,5.0863462092820555e-05,0.21862614154815674,0.144898921251297,0.03722264990210533
lens,x_neg_edge,7.0,10.0,6.66706619085744e-05,0.4331982135772705,0.22027252614498138,0.035954996943473816
lens,x_pos_edge,1.0,3.0,9.986288205254823e-05,0.95025634765625,0.47693222761154175,0.07351702451705933
lens,x_pos_edge,3.0,5.0,7.873501454014331e-05,0.7411760091781616,0.2981734871864319,0.04756744205951691
lens,x_pos_edge,5.0,7.0,5.064352444605902e-05,0.21851545572280884,0.14376044273376465,0.03706929087638855
lens,x_pos_edge,7.0,10.0,6.675822078250349e-05,0.43347734212875366,0.22078484296798706,0.036006566137075424
lens,y_neg_edge,1.0,3.0,9.991183469537646e-05,0.9502373933792114,0.47730958461761475,0.07346305251121521
lens,y_neg_edge,3.0,5.0,7.896663009887561e-05,0.7416980266571045,0.30053195357322693,0.04785440117120743
lens,y_neg_edge,5.0,7.0,5.086345845484175e-05,0.2186262607574463,0.1448988914489746,0.037222638726234436
lens,y_neg_edge,7.0,10.0,6.66706619085744e-05,0.4331984519958496,0.2202725112438202,0.035954996943473816
lens,y_pos_edge,1.0,3.0,9.986289660446346e-05,0.95025634765625,0.47693222761154175,0.07351702451705933
lens,y_pos_edge,3.0,5.0,7.87350072641857e-05,0.7411761283874512,0.2981734871864319,0.04756743460893631
lens,y_pos_edge,5.0,7.0,5.06435135321226e-05,0.21851569414138794,0.14376045763492584,0.03706928342580795
lens,y_pos_edge,7.0,10.0,6.675823533441871e-05,0.43347740173339844,0.22078484296798706,0.03600657358765602
random,center,1.0,3.0,4.450670530786738e-05,0.2868892550468445,0.11761096864938736,0.0036316518671810627
random,center,3.0,5.0,3.4859800507547334e-05,0.21200144290924072,0.08831100910902023,0.0032820801716297865
random,center,5.0,7.0,1.213905885533162e-11,0.0,7.554117331665111e-10,1.6311969552873506e-09
random,center,7.0,10.0,1.2869830201545085e-11,-1.1920928955078125e-07,3.192361930359766e-10,1.5728662816627548e-09
random,corner_neg_neg,1.0,3.0,6.029138603480533e-05,0.48487353324890137,0.1883808970451355,0.0040616123005747795
random,corner_neg_neg,3.0,5.0,5.8828911278396845e-05,0.4674762487411499,0.18199048936367035,0.0040551829151809216
random,corner_neg_neg,5.0,7.0,5.636519199470058e-05,0.4228280782699585,0.16798077523708344,0.00408412329852581
random,corner_neg_neg,7.0,10.0,6.057597420294769e-05,0.4922705292701721,0.1899876594543457,0.004086135886609554
random,corner_neg_pos,1.0,3.0,6.118230521678925e-05,0.4960120916366577,0.19337430596351624,0.004032286815345287
random,corner_neg_pos,3.0,5.0,5.903851706534624e-05,0.46659666299819946,0.1818009465932846,0.0039983829483389854
random,corner_neg_pos,5.0,7.0,5.613850589725189e-05,0.4210520386695862,0.1673857420682907,0.003969775512814522
random,corner_neg_pos,7.0,10.0,6.066076093702577e-05,0.4944821000099182,0.1919715404510498,0.003992216195911169
random,corner_pos_neg,1.0,3.0,6.096246943343431e-05,0.4968873858451843,0.19313406944274902,0.004063480067998171
random,corner_pos_neg,3.0,5.0,5.912007691222243e-05,0.4718887209892273,0.18477296829223633,0.004025325644761324
