step,loss,mean_log_I
0,-16.622905731201172,13.924148559570312
1,-16.714439392089844,13.995668411254883
2,-16.712928771972656,13.9926176071167
3,-16.710514068603516,13.9915189743042
4,-16.70621681213379,13.987332344055176
5,-16.708656311035156,13.99029541015625
6,-16.705148696899414,13.987144470214844
7,-16.698341369628906,13.981874465942383
8,-16.71669578552246,13.99656867980957
9,-16.719554901123047,13.999425888061523
